name
“Coelosaurus” antiquus
Aachenosaurus
Aardonyx
Abdarainurus
Abditosaurus
Abelisaurus
Abrictosaurus
Abrosaurus
Abydosaurus
Acantholipan
Acanthopholis
Achelousaurus
Acheroraptor
Achillesaurus
Achillobator
Acristavus
Acrocanthosaurus
Acrotholus
Actiosaurus
Adamantisaurus
Adasaurus
Adelolophus
Adeopapposaurus
Adratiklit
Adynomosaurus
Aegyptosaurus
Aeolosaurus
Aepisaurus
Aepyornithomimus
Aerosteon
Afromimus
Afrovenator
Agathaumas
Aggiosaurus
Agilisaurus
Agnosphitys
Agrosaurus
Agujaceratops
Agustinia
Ahshislepelta
Ajkaceratops
Ajnabia
Akainacephalus
Alamosaurus
Alaskacephale
Albalophosaurus
Albertaceratops
Albertadromeus
Albertavenator
Albertonykus
Albertosaurus
Albinykus
Albisaurus
Alcovasaurus
Alectrosaurus
Aletopelta
Algoasaurus
Alioramus
Allosaurus
Almas ukhaa
Alnashetri
Alocodon
Altirhinus
Altispinax
Alvarezsaurus
Alwalkeria
Alxasaurus
Amanzia
Amargasaurus
Amargatitanis
Amazonsaurus
Ambopteryx
Ampelosaurus
Amphicoelias
Amtocephale
Amtosaurus
Amurosaurus
Amygdalodon
Anabisetia
Analong
Anasazisaurus
Anchiceratops
Anchiornis
Anchisaurus
Andesaurus
Angolatitan
Angulomastacator
Anhuilong
Aniksosaurus
Animantarx
Ankistrodon
Ankylosauria
Ankylosaurus
Anodontosaurus
Anomalipes
Anoplosaurus
Anserimimus
Antarctopelta
Antarctosaurus
Antetonitrus
Antrodemus
Anzu wyliei
Aoniraptor
Aorun
Apatodon
Apatoraptor
Apatosaurus
Appalachiosaurus
Aquilarhinus
Aquilops
Arackar
Aragosaurus
Aralosaurus
Aratasaurus
Archaeoceratops
Archaeodontosaurus
Archaeopteryx
Archaeoraptor
Archaeornithoides
Archaeornithomimus
Archosaur
Arcovenator
Arctosaurus
Arcusaurus
Arenysaurus
Argentinosaurus
Argyrosaurus
Aristosuchus
Arizonasaurus
Arkansaurus
Arkharavia
Arrhinoceratops
Arrudatitan
Arstanosaurus
Asfaltovenator
Asiaceratops
Asiamericana
Asiatosaurus
Asilisaurus
Astrodon
Astrophocaudia
Asylosaurus
Atacamatitan
Atlantosaurus
Atlasaurus
Atlascopcosaurus
Atrociraptor
Atsinganosaurus
Aublysodon
Aucasaurus
Augustynolophus
Auroraceratops
Aurornis
Australodocus
Australotitan
Australovenator
Austrocheirus
Austroposeidon
Austroraptor
Austrosaurus
Avaceratops
Avalonianus
Avebrevicauda
Avemetatarsalia
Aviatyrannis
Avimimus
Avipes
Avisaurus
Azendohsaurus
Azhdarchoidea
Baalsaurus
Bactrosaurus
Bagaceratops
Bagaraatan
Bagualia
Bagualosaurus
Bahariasaurus
Bainoceratops
Bajadasaurus
Balaur bondoc
Bambiraptor
Banji
Bannykus
Baotianmansaurus
Barapasaurus
Barilium
Barosaurus
Barrosasaurus
Barsboldia
Baryonyx
Bashanosaurus
Basutodon
Batyrosaurus
Baurutitan
Bayannurosaurus
Beg tse
Beibeilong
Beipiaognathus
Beipiaosaurus
Beishanlong
Bellusaurus
Belodon
Berberosaurus
Berthasaura
Betasuchus
Bicentenaria
Bienosaurus
Bissektipelta
Bistahieversor
Bisticeratops
Blasisaurus
Blikanasaurus
Bolong
Bonapartenykus
Bonapartesaurus
Bonatitan
Bonitasaura
Borealopelta
Borealosaurus
Boreonykus
Borogovia
Bothriospondylus
Brachiosaurus
Brachyceratops
Brachylophosaurus
Brachypodosaurus
Brachytrachelopan
Bradycneme
Brasileosaurus
Brasilotitan
Bravasaurus
Bravoceratops
Breviceratops
Brighstoneus
Brithopus
Brohisaurus
Brontomerus
Brontosaurus
Bruhathkayosaurus
Buitreraptor
Burianosaurus
Buriolestes
Byronosaurus
Caenagnathasia
Caenagnathus
Caihong
Calamosaurus
Calamospondylus
Callovosaurus
Camarasaurus
Camarillasaurus
Camelotia
Camposaurus
Camptosaurus
Campylodoniscus
Canardia
Carcharodontosaurus
Cardiodon
Carnotaurus
Caseosaurus
Cathartesaura
Caudipteryx
Cedarosaurus
Cedarpelta
Cedrorestes
Centemodon
Centrosaurus
Cerasinops
Ceratonykus
Ceratops
Ceratosaurus
